phase,d,l,b
175,1132.4,224.5999978500447,3.699998012155007
175,377.4,205.899996284671,19.20000213569621
175,366.9,201.40000064264066,17.199995818785847
175,346.1,202.70000345059015,16.199998191605864
175,452.4,117.59999997607608,-19.000004276777894
175,387.7,112.29999695888287,-13.600001249814184
175,344.4,201.1000039815078,16.39999753977411
175,350.8,204.90000436853214,16.800001189555836
175,345.0,200.00000513637977,17.599998795863826
175,907.6,219.50000282919714,7.79999753645012
175,1176.0,225.4999996776707,1.8000052171545018
175,245.8,112.90000261854337,-6.799999260994663
175,1032.0,78.10000348794892,0.3000022312201944
175,414.9,195.19999631904133,19.50000444488177
175,959.0,79.29999971448404,-2.899996558637525
175,305.4,206.40000232470106,10.69999687295071
175,1023.5,77.49999959212055,-1.1999977509112456
175,746.8,88.99999780065177,4.599995403049617
175,454.3,105.90000010419996,-6.400004182835478
175,464.8,206.20000131022013,19.799998326418077
175,146.8,120.49999894527994,1.1999991635842124
175,1108.9,224.40000081110247,3.400004139180467
175,961.0,219.20000626238254,5.400001215718938
175,996.7,76.99999562371437,-2.9999988041278476
175,360.4,204.8000042023248,24.000002421338294
175,462.9,103.20000278691289,-12.10000158692904
175,242.0,209.1000009184767,5.900004037127635
175,1060.9,72.09999862295362,-2.800004367819881
175,444.9,112.89999961539868,-21.000001346666835
175,425.8,115.29999671858474,-22.199996352816807
175,992.9,80.10000312994259,-0.8999991469643841
175,980.7,77.39999745669202,-2.7999998810910434
175,958.1,78.49999475056478,-2.3000000312770763
175,900.8,216.99999445164457,7.199997577090576
175,427.2,212.50000592447356,18.800000702784367
175,619.9,90.5000012788155,2.0000027227707045
175,392.1,201.49999648979113,17.899997581228085
175,379.3,209.50000404551196,18.00000323316468
175,316.7,206.79999720794368,15.4000051933681
175,837.1,213.89999845913465,11.600001060905822
175,772.4,87.79999884015523,4.099998273251477
175,950.5,77.40000007328493,-2.4000037334556428
175,794.4,85.09999996115117,4.30000227200052
175,736.0,88.8999989436676,4.499997154537222
175,353.3,111.3999989466388,1.6000018846665864
175,402.8,192.59999996509333,18.500004357213303
175,387.5,195.19999610950774,14.599996778981359
175,429.0,196.49999825349883,20.799999926477863
175,422.4,196.90000303943384,21.700001475669193
175,369.5,203.90000229204233,18.099994101787676
175,414.2,204.4999966822969,19.200000910228475
175,436.3,205.29999826494927,21.199998077285226
175,440.1,213.49999535458267,17.899999167889384
175,851.0,214.19999715012196,11.20000168933184
175,841.1,214.49999720487148,12.200001297113173
175,820.8,216.3999974564386,8.49999586600754
175,678.7,219.39999961206706,12.899998707471736
175,662.2,219.8000016958159,13.299997318197523
175,1169.9,225.69999872254837,3.10000571502199
175,1182.4,226.09999612921374,2.5999992831908525
175,492.1,109.39999593203586,-14.800002981359848
175,406.9,206.80000496469276,19.20000285735262
175,334.7,112.29999934565625,-4.900003896285394
175,463.2,97.30000104871314,-15.200002121931462
175,361.5,205.29999581091707,18.70000227025839
175,408.7,205.19999938939662,17.999998024619178
175,387.7,208.20000236345143,18.099995758623148
175,1023.9,78.30000459902642,-7.979669786163708e-07
175,873.6,83.79999869118029,2.099996800590148
175,818.8,84.79999760974287,4.59999693608271
175,623.8,90.50000256444613,2.200003621525744
175,561.4,91.69999539847291,-0.6000000944308804
175,755.7,96.19999922964561,9.099998557451407
175,448.4,99.09999671457948,-0.09999996516424714
175,455.4,105.90000056266108,-6.299995691897585
175,394.2,111.30000139040737,-8.000004586316582
175,334.3,112.00000076252762,-5.099996170775022
175,446.2,116.00000127718279,-20.199999667204153
175,308.8,188.0000010706851,10.800003272531397
175,430.4,203.29999936863828,22.400000654355143
175,392.0,206.79999615862258,19.499999297009317
175,364.3,206.4999992315758,17.40000127338709
175,429.4,212.50000275273212,18.599994899055762
175,311.2,213.00000162971568,22.799998910310112
175,1000.7,218.19999688777392,5.2999988919002545
175,868.4,219.0000022903594,15.69999510923954
175,685.3,221.99999891999636,14.700005930906196
175,963.4,219.20000347448348,6.199999589440266
175,1160.9,224.60000484874718,2.500000594709181
