phase,d,l,b,x,y,z
90,1142.8,3.920009538315604,-0.15009840813884634,-793.3984182685152,119.99030442214276,-813.7033345966449
90,364.1,3.5936330096081215,0.20594885309125813,-155.6786360863965,-32.52296175859193,-327.5289746338918
90,357.7,3.51509312513499,0.2024581120571579,-127.85066625896391,-26.24396196660652,-333.03866381763294
90,338.7,3.537782397903708,0.19373149695078437,-128.26121095032582,-25.163842479654445,-312.4636503614703
90,432.4,2.0525071909770025,-0.14486236794194057,379.18076803964675,-55.3165072698447,-200.3292019959367
90,376.9,1.9600047332790982,-0.012217365673231954,348.68552052897894,-4.260230477754472,-143.01702069932594
90,337.7,3.509857151035516,0.20769414890046342,-118.95824820036215,-25.068430785011856,-315.0584056378723
90,341.8,3.5761796683712204,0.18675026826307775,-141.40785627759183,-26.71929743643918,-310.0276396185976
90,338.5,3.490658512628286,0.2391101678529189,-112.47995251347028,-27.419663976951654,-318.0859511357874
90,915.3,3.830997707896737,-0.1884954889398685,-571.8899974785819,109.0938099134367,-706.2679813091618
90,1190.4,3.9357175112625162,-0.15882504312358983,-838.367013979235,134.28470881281555,-834.3623474549885
90,254.2,1.9704767614493197,0.2844887027336303,224.75311733141112,65.72241933268832,-98.91531654335046
90,1032.0,1.3631021741915001,0.006981411264038411,1009.7966693684805,7.049920380238805,212.80269066662666
90,403.6,3.406882659142521,0.24783675112525821,-102.58625778102613,-25.958313632442398,-389.4806614812148
90,957.8,1.3840460856846861,-0.006981299522637846,941.1235995849377,-6.57037248033298,177.83149470709427
90,301.8,3.6023595412415568,0.10821036450259033,-133.40600102590253,-14.492522854826028,-270.32581392012725
90,1023.4,1.3526300880955067,-0.013962645975434947,999.0439230224524,-13.950203179052824,221.50438303377004
90,744.4,1.5533430817532439,0.010472001292843331,744.2458149824141,7.794028043780299,12.991536014457234
90,451.6,1.848303711914936,0.013962666627148174,434.28003497822493,6.0641014341221675,-123.71999795145662
90,442.3,3.59886890779968,0.15184370262605837,-193.03114191902603,-29.537926857833213,-396.8573788231462
90,177.6,2.1031217397291564,0.5986479245178455,126.41397290870405,86.2337639406693,-90.13881189622128
90,1122.5,3.9165188843392547,-0.16580632640686024,-774.6012215614257,129.62382721169223,-801.9955492236478
90,977.7,3.8257616883917023,-0.2076941177097147,-604.6549822202408,127.42075019404938,-757.6632463675575
90,995.8,1.3439035862051494,-0.027925227428169996,969.8994288480831,-27.091704701782614,224.00619959392503
90,347.7,3.574434260112178,0.328121966985529,-138.06261350595392,-47.000357853724914,-315.6342362823263
90,455.0,1.8011798554424163,-0.10297440085471027,440.63185737991563,-45.53486181976265,-103.89967575012349
90,242.0,3.6494834740987505,0.10122901733965635,-117.09065916044268,-11.89362605407209,-211.45287701201642
90,1062.4,1.2583823973706125,-0.07330388724027374,1008.2588990951081,-74.04196469034062,326.5356639944789
90,423.0,1.9704767458494352,-0.18849552075881304,382.75945092304096,-73.01525500389077,-164.59943883807446
90,401.2,2.0123645936894805,-0.18500497128572513,356.5282652778017,-66.72247730715839,-171.45596250931945
90,992.9,1.39800869664312,0.015707940061923546,977.9943768309923,15.36354066978348,170.7084371232034
90,979.6,1.3508848171786343,-0.01570793242376961,955.890115017336,-15.016292387252623,213.69314208716318
90,957.3,1.3700834761594451,0.0034905966693749633,938.076207366654,3.274458984023525,190.85491109991486
90,912.0,3.7873645394050257,-0.2007128752386199,-537.8369122558754,109.424162819713,-728.3555508172301
90,407.3,3.7088246454537073,0.12042776567438991,-217.25712538688984,-26.2910114126138,-343.5133391697141
90,619.9,1.5795229783566993,-0.03490658431513393,619.4987841424863,-21.633373791926843,-5.409582641921917
90,380.2,3.516838492407676,0.19373149342742327,-136.73703440942455,-26.8267319897287,-353.7447524298659
90,365.3,3.656464825388234,0.15882486861717154,-177.61830876697258,-28.44982665417005,-317.9409280890211
90,310.5,3.6093408254297117,0.1832596015160533,-137.65318648713904,-25.512514394824024,-277.1479061064521
90,828.1,3.7332591919825746,-0.13962631460336,-457.373798596274,64.27968350612123,-687.3332093286108
90,770.5,1.532399079101416,0.013962581163054247,769.85702764784,10.749889818394037,29.57781009684845
90,949.7,1.3508847631403773,0.003490651767982194,926.8224861416018,3.2352276899052796,207.17070855720578
90,792.7,1.4852751405163775,0.03665193157987001,789.2724756564402,28.941321513743798,67.71003677588887
90,733.7,1.5515976825036635,0.003490677252264372,733.5603184907355,2.5606327172173367,14.085180008014545
90,366.7,1.9442968323354752,0.27227143665351594,328.84118611874516,91.81413488318171,-133.80033238998232
90,395.0,3.361504088843312,0.2583088084128235,-83.30784463816062,-22.0108890452123,-385.48712531702466
90,380.6,3.406882761766356,0.17278753105326217,-98.30329643970063,-17.1566651405175,-367.2852716218614
