phase,name,x,y,z,vz
0,2082,-804.4156685,-793.67385,-47.79403358,-9.66996571
0,2370,-320.8300254,-155.5365347,-110.6014229,2.0460330300000003
0,2371,-326.3172943,-127.7044031,-110.2598236,-0.8737333729999994
0,2376,-306.5825506,-128.3205219,-115.5084595,4.695823224
0,Alessi_20,-198.2675804,379.1426805,-27.67876884,1.1646078519999996
0,ASCC_127,-143.1446646,348.6835879,27.55066072,-1.3457851140000008
0,ASCC_16,-308.180874,-119.0880108,-109.6658806,3.5631997269999998
0,ASCC_19,-304.5600477,-141.4925697,-118.8487367,0.9788430679999998
0,ASCC_21,-309.0963874,-112.2958629,-98.54082117,3.4695411959999998
0,BDSB91,-694.1325646,-571.5982706,-167.5252187,-6.34734717
0,BDSB96,-824.3178326,-837.9519291,-52.29556978,-8.795052049999999
0,Cepheus,-95.01449077,224.8197776,58.51030264,1.2376619309999999
0,Collinder_419,212.5568399,1009.814014,50.12066124,1.1540497680000001
0,Collinder_69,-377.6083681,-102.3607048,-83.35952471,2.119570639
0,CWNU_1011,177.7097336,941.1439204,5.36663689,2.8343501030000002
0,CWNU_1028,-268.7677522,-133.3731256,-146.0591187,0.9269341839999994
0,CWNU_1035,221.3078406,999.1031604,28.54420124,-3.3656362799999995
0,CWNU_1049,13.30649014,744.2377412,-12.12016082,1.3305035609999996
0,CWNU_1055,-123.9375886,434.1636167,69.62556361,-2.3257691199999995
0,CWNU_1088,-392.1767838,-193.4090186,-121.4526399,2.3167286149999997
0,CWNU_1090,-74.55861813,126.360053,45.22682898,1.8725670879999994
0,CWNU_1203,-790.9714014,-774.3657802,-71.81467421,-7.55355395
0,CWNU_1218,-740.9939726,-605.2938097,-164.6026933,-10.012465679999998
0,CWNU_1223,223.8236287,969.9037578,8.96896006,3.8169737639999997
0,CWNU_1233,-298.8893243,-137.9604888,-69.54954604,10.368824855
0,CWNU_1235,-103.1962559,440.6959836,20.36756186,3.824904504
0,CWNU_1262,-210.446812,-117.0455258,-145.098889,4.9220261690000005
