phase,x,y,z,l,b,d
0,-804.4,-793.7,-47.8,224.6,-2.4,1131.1
0,-320.8,-155.5,-110.6,205.9,-17.2,373.3
0,-326.3,-127.7,-110.3,201.4,-17.5,367.3
0,-306.6,-128.3,-115.5,202.7,-19.2,351.9
0,-198.3,379.1,-27.7,117.6,-3.7,428.7
0,-143.1,348.7,27.6,112.3,4.2,377.9
0,-308.2,-119.1,-109.7,201.1,-18.4,348.1
0,-304.6,-141.5,-118.8,204.9,-19.5,356.3
0,-309.1,-112.3,-98.5,200.0,-16.7,343.3
0,-694.1,-571.6,-167.5,219.5,-10.6,914.6
0,-824.3,-838.0,-52.3,225.5,-2.5,1176.6
0,-95.0,224.8,58.5,112.9,13.5,251.0
0,212.6,1009.8,50.1,78.1,2.8,1033.2
0,-377.6,-102.4,-83.4,195.2,-12.0,400.0
0,177.7,941.1,5.4,79.3,0.3,957.7
0,-268.8,-133.4,-146.1,206.4,-26.0,333.8
0,221.3,999.1,28.5,77.5,1.6,1023.7
0,13.3,744.2,-12.1,89.0,-0.9,744.4
0,-123.9,434.2,69.6,105.9,8.8,456.9
0,-392.2,-193.4,-121.5,206.2,-15.5,453.9
0,-74.6,126.4,45.2,120.5,17.1,153.6
0,-791.0,-774.4,-71.8,224.4,-3.7,1109.3
0,-741.0,-605.3,-164.6,219.2,-9.8,970.9
0,223.8,969.9,9.0,77.0,0.5,995.4
0,-298.9,-138.0,-69.5,204.8,-11.9,336.5
0,-103.2,440.7,20.4,103.2,2.6,453.1
0,-210.4,-117.0,-145.1,209.1,-31.1,281.1
0,325.4,1008.4,-48.6,72.1,-2.6,1060.7
0,-161.5,382.8,-37.3,112.9,-5.1,417.1
0,-168.3,356.6,-42.6,115.3,-6.2,396.6
0,171.2,977.9,46.7,80.1,2.7,993.9
0,213.6,955.9,13.4,77.4,0.8,979.6
0,190.4,938.2,16.3,78.5,1.0,957.5
0,-713.4,-538.4,-186.4,217.0,-11.8,913.0
0,-341.1,-217.1,-138.9,212.5,-19.0,427.5
0,-5.8,619.5,24.3,90.5,2.2,620.0
0,-347.1,-136.9,-111.4,201.5,-16.6,389.4
0,-314.0,-177.7,-128.8,209.5,-19.6,383.1
0,-272.5,-137.8,-122.9,206.8,-21.9,329.2
0,-680.7,-457.4,-172.0,213.9,-11.8,837.9
0,29.0,769.9,-22.8,87.8,-1.7,770.8
0,207.3,926.8,12.8,77.4,0.8,949.8
0,67.5,789.3,-16.7,85.1,-1.2,792.4
0,14.5,733.6,-12.0,88.9,-0.9,733.8
0,-128.6,328.9,126.2,111.4,19.7,375.0
0,-372.7,-83.5,-78.8,192.6,-11.7,390.0
0,-361.8,-98.4,-115.6,195.2,-17.1,392.4
0,-384.5,-113.8,-78.2,196.5,-11.0,408.5
0,-375.7,-114.0,-72.2,196.9,-10.4,399.2
0,-321.2,-142.2,-112.1,203.9,-17.7,368.7
0,-356.0,-162.2,-114.6,204.5,-16.3,407.6
0,-368.0,-173.6,-103.7,205.3,-14.3,419.9
0,-349.3,-231.2,-151.3,213.5,-19.9,445.4
0,-690.7,-469.0,-169.5,214.2,-11.5,851.9
0,-677.1,-466.1,-159.9,214.5,-11.0,837.4
0,-653.2,-482.0,-217.3,216.4,-15.0,840.4
0,-510.9,-420.2,-211.9,219.4,-17.8,694.6
0,-494.9,-412.8,-211.3,219.8,-18.2,678.2
0,-815.8,-836.1,-30.7,225.7,-1.5,1168.6
0,-818.9,-851.2,-32.1,226.1,-1.6,1181.6
0,-158.3,448.6,-5.6,109.4,-0.7,475.7
0,-343.0,-173.5,-119.3,206.8,-17.2,402.5
0,-126.5,308.6,82.9,112.3,14.0,343.7
0,-56.7,443.3,-10.0,97.3,-1.3,447.0
0,-309.4,-146.5,-109.4,205.3,-17.7,359.4
0,-351.6,-165.5,-124.1,205.2,-17.7,407.9
0,-324.8,-174.1,-126.5,208.2,-18.9,389.6
0,207.8,1002.6,49.0,78.3,2.7,1025.1
0,94.8,867.8,4.3,83.8,0.3,873.0
0,74.0,812.8,-1.5,84.8,-0.1,816.2
0,-5.9,623.3,24.5,90.5,2.3,623.8
0,-17.0,561.1,40.0,91.7,4.1,562.8
0,-81.2,741.8,63.4,96.2,4.9,748.9
0,-71.2,442.7,112.6,99.1,14.1,462.3
0,-124.1,435.3,69.9,105.9,8.8,458.0
0,-142.0,363.6,65.9,111.3,9.6,395.9
0,-124.9,308.7,82.2,112.0,13.9,343.0
0,-183.3,376.6,-33.9,116.0,-4.6,420.2
